Player,Pos,Team,G,MP,PTS,AST,TRB,FG%,Age,Season,MVP
Tracy McGrady,SG,ORL,67.0,39.9,28.0,5.5,6.0,0.417,24.0,2004,0
Allen Iverson,SG,PHI,48.0,42.5,26.4,6.8,3.7,0.387,28.0,2004,0
Kevin Garnett,PF,MIN,82.0,39.4,24.2,5.0,13.9,0.499,27.0,2004,1
Peja Stojakovic,SF,SAC,81.0,40.3,24.2,2.1,6.3,0.48,26.0,2004,0
Kobe Bryant,SG,LAL,65.0,37.6,24.0,5.1,5.5,0.438,25.0,2004,0
Ray Allen,SG,SEA,56.0,38.4,23.0,4.8,5.1,0.44,28.0,2004,0
Paul Pierce,SG,BOS,80.0,38.7,23.0,5.1,6.5,0.402,26.0,2004,0
Baron Davis,PG,NOH,67.0,40.1,22.9,7.5,4.3,0.395,24.0,2004,0
Vince Carter,SG,TOR,73.0,38.2,22.5,4.8,4.8,0.417,27.0,2004,0
Tim Duncan,PF,SAS,69.0,36.6,22.3,3.1,12.4,0.501,27.0,2004,0
Dirk Nowitzki,C,DAL,77.0,37.9,21.8,2.7,8.7,0.462,25.0,2004,0
Michael Redd,SG,MIL,82.0,36.8,21.7,2.3,5.0,0.44,24.0,2004,0
Shaquille O'Neal,C,LAL,67.0,36.8,21.5,2.9,11.5,0.584,31.0,2004,0
Carmelo Anthony,SF,DEN,82.0,36.5,21.0,2.8,6.1,0.426,19.0,2004,0
LeBron James,SG,CLE,79.0,39.5,20.9,5.9,5.5,0.417,19.0,2004,0
Jamal Mashburn,SF,NOH,19.0,38.4,20.8,2.5,6.2,0.392,31.0,2004,0
Corey Maggette,SF,LAC,73.0,36.0,20.7,3.1,5.9,0.447,24.0,2004,0
Amar'e Stoudemire,PF,PHO,55.0,36.8,20.6,1.4,9.0,0.475,21.0,2004,0
Stephon Marbury,PG,2TM,81.0,40.2,20.2,8.9,3.2,0.431,26.0,2004,0
Stephon Marbury,PG,PHO,34.0,41.6,20.8,8.3,3.4,0.432,26.0,2004,0
Stephon Marbury,PG,NYK,47.0,39.1,19.8,9.3,3.1,0.431,26.0,2004,0
Jermaine O'Neal,PF,IND,78.0,35.7,20.1,2.1,10.0,0.434,25.0,2004,0
Zach Randolph,PF,POR,81.0,37.9,20.1,2.0,10.5,0.485,22.0,2004,0
Elton Brand,PF,LAC,69.0,38.7,20.0,3.3,10.3,0.493,24.0,2004,0
Sam Cassell,PG,MIN,81.0,35.0,19.8,7.3,3.3,0.488,34.0,2004,0
Gilbert Arenas,PG,WAS,55.0,37.6,19.6,5.0,4.6,0.392,22.0,2004,0
Shawn Marion,SF,PHO,79.0,40.7,19.0,2.7,9.3,0.44,25.0,2004,0
Larry Hughes,SG,WAS,61.0,33.8,18.8,2.4,5.3,0.397,25.0,2004,0
Jason Richardson,SG,GSW,78.0,37.6,18.7,2.9,6.7,0.438,23.0,2004,0
Chris Webber,PF,SAC,23.0,36.1,18.7,4.6,8.7,0.413,30.0,2004,0
Michael Finley,SG,DAL,72.0,38.6,18.6,2.9,4.5,0.443,30.0,2004,0
Allan Houston,SG,NYK,50.0,36.0,18.5,2.0,2.4,0.435,32.0,2004,0
Richard Jefferson,SF,NJN,82.0,38.2,18.5,3.8,5.7,0.498,23.0,2004,0
Mike Bibby,PG,SAC,82.0,36.3,18.4,5.4,3.4,0.45,25.0,2004,0
Metta World Peace,SF,IND,73.0,37.2,18.3,3.7,5.3,0.421,24.0,2004,0
Stephen Jackson,SF,ATL,80.0,36.8,18.1,3.1,4.6,0.425,25.0,2004,0
Rashard Lewis,SF,SEA,80.0,36.6,17.8,2.2,6.5,0.435,24.0,2004,0
Pau Gasol,PF,MEM,78.0,31.5,17.7,2.5,7.7,0.482,23.0,2004,0
Richard Hamilton,SG,DET,78.0,35.5,17.6,4.0,3.6,0.455,25.0,2004,0
Yao Ming,C,HOU,82.0,32.8,17.5,1.5,9.0,0.522,23.0,2004,0
Jamal Crawford,SG,CHI,80.0,35.1,17.3,5.1,3.5,0.386,23.0,2004,0
Eddie Jones,SG,MIA,81.0,37.0,17.3,3.2,3.8,0.409,32.0,2004,0
Quentin Richardson,SG,LAC,65.0,36.0,17.2,2.1,6.4,0.398,23.0,2004,0
Lamar Odom,PF,MIA,80.0,37.5,17.1,4.1,9.7,0.43,24.0,2004,0
Juwan Howard,PF,ORL,81.0,35.5,17.0,2.0,7.0,0.453,30.0,2004,0
Chauncey Billups,PG,DET,78.0,35.4,16.9,5.7,3.5,0.394,27.0,2004,0
Latrell Sprewell,SF,MIN,82.0,37.8,16.8,3.5,3.8,0.409,33.0,2004,0
Jason Terry,PG,ATL,81.0,37.3,16.8,5.4,4.1,0.417,26.0,2004,0
Joe Johnson,SG,PHO,82.0,40.6,16.7,4.4,4.7,0.43,22.0,2004,0
Kenyon Martin,PF,NJN,65.0,34.6,16.7,2.5,9.5,0.488,26.0,2004,0
Steve Francis,PG,HOU,79.0,40.4,16.6,6.2,5.5,0.403,26.0,2004,0
Glenn Robinson,SF,PHI,42.0,31.8,16.6,1.4,4.5,0.448,31.0,2004,0
Andrei Kirilenko,PF,UTA,78.0,37.1,16.5,3.1,8.1,0.443,22.0,2004,0
